en-us,en-rUS,English(US)
ar,ar,Arabic
bg,bg,Bulgarian
bs,bs,Bosnian
da,da,Danish
de,de,German
el,el,Greek
es,es,Spanish
eu,eu,Basque
fi,fi,Finnish
fr,fr,French
hi,hi,Hindi
he,he,Hebrew
hr,hr,Croatian
hu,hu,Hungarian
id,id,Indonesian
it,it,Italian
ja,ja,Japanese
ka,ka,Georgian
ko,ko,Korean
lv,lv,Latvian
lt,lt,Lithuanian
nb,nb,Norwegian
nl,nl,Dutch
pl,pl,Polish
pt,pt,Portuguese
pt-br,pt-rBR,Portuguese(Brazil)
ro,ro,Romanian
sk,sk,Slovak
sl,sl,Slovenian
sr,sr,Serbian
sv,sv,Swedish
th,th,Thai
tl,tl,Tagalog
tr,tr,Turkish
uk,uk,Ukranian
vi,vi,Vietnamese
zh,zh,Chinese
zh-cn,zh-rCN,Chinese(China)
zh-tw,zh-rTW,Chinese(Taiwan)
