en-gb,en-gb,en-GB,English
pl,pl,pl-PL,Polish
id,id,id,Indonesian
ja,ja,ja-JP,Japanese
fr,fr,fr-FR,French
fr,fr-CA,fr-CA,French(Canada)
ko,ko,ko-KR,Korean(South)
zh-cn,zh-rCN,zh-CN,Chinese(Simplified)
sv,sv,sv-SE,Swedish
it,it,it-IT,Italian
ru,ru,ru-RU,Russian
tr,tr,tr-TR,Turkish
de,de,de-DE,German
nl,nl,nl-NL,Dutch
es,es,es-ES,Spanish
pt-br,pt-rBR,pt-BR,Portuguese(Brazil)
zh-tw,zh-rTW,zh-TW,Chinese(Traditional)
he,he,iw-IL,Hebrew
ar,ar,ar,Arabic
sr,sr,sr,Serbian
th,th,th,Thai
vi,vi,vi,Vietnamese
